Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.080957, 0.080684, 0.08333, 0.083081, 134390.575
<module 'time' (built-in)>, 0.08316, 0.08, 0.084669, 0.0822, 131743.963
<module 'time' (built-in)>, 0.0822, 0.07595, 0.0827, 0.0804, 204147.619
<module 'time' (built-in)>, 0.080454, 0.07905, 0.082145, 0.081628, 153036.754
<module 'time' (built-in)>, 0.081543, 0.07915, 0.08176, 0.080747, 147032.645
<module 'time' (built-in)>, 0.080747, 0.080161, 0.0821, 0.080199, 149418.733
<module 'time' (built-in)>, 0.080231, 0.0783, 0.08225, 0.080565, 175367.973
<module 'time' (built-in)>, 0.080565, 0.077519, 0.0812, 0.080768, 140098.378
<module 'time' (built-in)>, 0.080848, 0.079994, 0.085433, 0.084004, 133165.623
<module 'time' (built-in)>, 0.084004, 0.0825, 0.0848, 0.083995, 140875.674
<module 'time' (built-in)>, 0.083995, 0.082409, 0.084958, 0.083255, 119657.839
<module 'time' (built-in)>, 0.083317, 0.082447, 0.084731, 0.084699, 107701.025
<module 'time' (built-in)>, 0.084699, 0.0827, 0.0854, 0.082968, 93411.684
<module 'time' (built-in)>, 0.082967, 0.0827, 0.08435, 0.084091, 104327.594
<module 'time' (built-in)>, 0.084177, 0.083253, 0.085743, 0.084682, 87917.702
<module 'time' (built-in)>, 0.08468, 0.083848, 0.085901, 0.083917, 88347.757
<module 'time' (built-in)>, 0.083917, 0.082409, 0.084386, 0.083142, 87568.365
<module 'time' (built-in)>, 0.083142, 0.080021, 0.084, 0.080422, 115585.029
<module 'time' (built-in)>, 0.080422, 0.075765, 0.08107, 0.077046, 162034.832
<module 'time' (built-in)>, 0.076963, 0.0753, 0.0795, 0.079404, 137941.344
<module 'time' (built-in)>, 0.079457, 0.077318, 0.080914, 0.078514, 124820.207
<module 'time' (built-in)>, 0.078586, 0.07782, 0.080261, 0.079959, 90706.924
<module 'time' (built-in)>, 0.07992, 0.07658, 0.080388, 0.077714, 97781.702
<module 'time' (built-in)>, 0.077768, 0.0715, 0.0779, 0.07214, 145016.966
<module 'time' (built-in)>, 0.072078, 0.072069, 0.076492, 0.075935, 128010.584
<module 'time' (built-in)>, 0.075879, 0.074195, 0.0775, 0.075587, 123347.701
<module 'time' (built-in)>, 0.075578, 0.075281, 0.07744, 0.077218, 118055.094
<module 'time' (built-in)>, 0.077218, 0.075917, 0.07775, 0.07698, 122731.661
<module 'time' (built-in)>, 0.07698, 0.07651, 0.078121, 0.07735, 113457.714
